 !! ---------- Fit Parameter Table -----------------
!!KERNEL_FILE                                                                                                         
 !! ENERGY,WESUM,ESUM,NCASE, DR,DUMMY,DZ,IR,IZ,Z0
 !!  0.3569677      3.5689788E+07  1.4713424E+07   100000000  0.2000000    
 !!  0.0000000E+00  0.2000000             101         201   20.00000    
 !! Minimum radius for fitting (> outer source channel)  0.2000000    
 !! Minimum and maximum angles to fit directly for primary
 !! and scatter respectively. The rest is interpolated 
 !!   5.000000       175.0000       8.000000       172.0000    
!!  0.30E-01  0.90E-01  0.40E-04  0.43E+00  -.40E-02  0.70E-02  0.60E-01
!! angle      a1                 a2              a3        b1                b2              b3              b4       
   [deg]
!!____________________________________________________________________________________________________________________
   61.0   0.2855039E-01   0.1090431       0.1033979E-03   0.6080230      -0.2494351E-03   0.5743742E-02   0.6877015E-01
   62.0   0.2862612E-01   0.1099193       0.1554352E-03   0.5981139      -0.2545547E-03   0.5843518E-02   0.6868329E-01
   63.0   0.2852332E-01   0.1086445       0.1254604E-03   0.5977725      -0.2511005E-03   0.5843865E-02   0.6858724E-01
   64.0   0.2837710E-01   0.1067645       0.1892138E-04   0.5981939      -0.2598564E-03   0.5851852E-02   0.6861475E-01
   65.0   0.2847311E-01   0.1077315       0.7001727E-04   0.5961505      -0.2636942E-03   0.5876472E-02   0.6860928E-01
   66.0   0.2842740E-01   0.1067262       0.1969854E-04   0.5962400      -0.2680818E-03   0.5881476E-02   0.6863558E-01
   67.0   0.2837244E-01   0.1064016       0.2023400E-04   0.5944487      -0.2792843E-03   0.5913693E-02   0.6880970E-01
   68.0   0.2844562E-01   0.1072690       0.4391726E-04   0.5908864      -0.2918996E-03   0.5961252E-02   0.6873895E-01
   69.0   0.2839514E-01   0.1063929       0.2432179E-04   0.5878153      -0.2861508E-03   0.5981968E-02   0.6859349E-01
   70.0   0.2842383E-01   0.1064195       0.1931451E-04   0.5822430      -0.2864126E-03   0.6033403E-02   0.6854259E-01
   71.0   0.2840979E-01   0.1060494      -0.3255380E-05   0.5800672      -0.3110805E-03   0.6082376E-02   0.6879512E-01
   72.0   0.2830357E-01   0.1040849      -0.1452744E-03   0.5775371      -0.3139705E-03   0.6105460E-02   0.6860670E-01
   73.0   0.2831226E-01   0.1036314      -0.1860150E-03   0.5747378      -0.3110625E-03   0.6125192E-02   0.6841498E-01
   74.0   0.2850322E-01   0.1062415       0.2526094E-04   0.5688985      -0.3178363E-03   0.6189213E-02   0.6830801E-01
   75.0   0.2840088E-01   0.1045935      -0.1115006E-03   0.5680152      -0.3366308E-03   0.6221068E-02   0.6866787E-01
   76.0   0.2852699E-01   0.1061587      -0.2303733E-04   0.5634935      -0.3309296E-03   0.6256405E-02   0.6843391E-01
   77.0   0.2849546E-01   0.1058721       0.6255534E-05   0.5568495      -0.3517789E-03   0.6361739E-02   0.6887555E-01
   78.0   0.2833059E-01   0.1034429      -0.1480096E-03   0.5531769      -0.3537057E-03   0.6408022E-02   0.6868023E-01
   79.0   0.2851641E-01   0.1057533      -0.3913168E-04   0.5401314      -0.3727709E-03   0.6583338E-02   0.6884288E-01
   80.0   0.2862163E-01   0.1080114       0.1249207E-03   0.5380939      -0.3727443E-03   0.6608506E-02   0.6884461E-01
   81.0   0.2856405E-01   0.1068458       0.3906186E-04   0.5276139      -0.3687033E-03   0.6726534E-02   0.6865133E-01
   82.0   0.2828451E-01   0.1028410      -0.1804294E-03   0.5241238      -0.3728211E-03   0.6779757E-02   0.6892384E-01
   83.0   0.2842027E-01   0.1047937      -0.8201615E-04   0.5114630      -0.3718274E-03   0.6936027E-02   0.6844350E-01
   84.0   0.2830301E-01   0.1030815      -0.1642692E-03   0.5070502      -0.3675905E-03   0.6993143E-02   0.6837455E-01
   85.0   0.2852776E-01   0.1057141      -0.1837904E-04   0.4994571      -0.3762264E-03   0.7111374E-02   0.6851113E-01
   86.0   0.2846994E-01   0.1043241      -0.1207893E-03   0.4896544      -0.3742123E-03   0.7246572E-02   0.6830639E-01
   87.0   0.2843673E-01   0.1040937      -0.1321769E-03   0.4851253      -0.3731332E-03   0.7312737E-02   0.6823926E-01
   88.0   0.2836952E-01   0.1033142      -0.1899232E-03   0.4855294      -0.3839632E-03   0.7326260E-02   0.6857151E-01
   89.0   0.2849234E-01   0.1050929      -0.4507149E-04   0.4704020      -0.3745586E-03   0.7528916E-02   0.6795961E-01
   90.0   0.2840358E-01   0.1027169      -0.2482144E-03   0.4782979      -0.3716781E-03   0.7406972E-02   0.6815988E-01
   91.0   0.2840358E-01   0.1027169      -0.2482144E-03   0.4782979      -0.3716781E-03   0.7406972E-02   0.6815988E-01
   92.0   0.2858412E-01   0.1057326      -0.2759098E-04   0.4821236      -0.3638559E-03   0.7337473E-02   0.6812451E-01
   93.0   0.2845828E-01   0.1038285      -0.1513823E-03   0.5199275      -0.3538010E-03   0.6822007E-02   0.6866115E-01
   94.0   0.2859255E-01   0.1056395      -0.6276449E-04   0.5241472      -0.3477475E-03   0.6756427E-02   0.6837541E-01
   95.0   0.2845654E-01   0.1038875      -0.1579446E-03   0.5387833      -0.3486924E-03   0.6583871E-02   0.6845202E-01
   96.0   0.2859927E-01   0.1062946       0.2526179E-04   0.5396633      -0.3604146E-03   0.6590581E-02   0.6889822E-01
   97.0   0.2851813E-01   0.1050925      -0.5326946E-04   0.5471920      -0.3354636E-03   0.6467177E-02   0.6853621E-01
   98.0   0.2852914E-01   0.1057597      -0.2508232E-04   0.5516309      -0.3380810E-03   0.6419100E-02   0.6863280E-01
   99.0   0.2861716E-01   0.1073175       0.7505377E-04   0.5542008      -0.3436387E-03   0.6397497E-02   0.6878843E-01
  100.0   0.2863456E-01   0.1076071       0.8752025E-04   0.5585295      -0.3447183E-03   0.6350563E-02   0.6878053E-01
  101.0   0.2856690E-01   0.1067596       0.2471632E-04   0.5720587      -0.3415005E-03   0.6204761E-02   0.6895415E-01
  102.0   0.2857680E-01   0.1069262       0.4152574E-04   0.5746611      -0.3215765E-03   0.6148146E-02   0.6871715E-01
  103.0   0.2858661E-01   0.1065935      -0.1020185E-04   0.5792551      -0.3265129E-03   0.6106635E-02   0.6890322E-01
  104.0   0.2851407E-01   0.1063652       0.1321533E-04   0.5847954      -0.3251494E-03   0.6048085E-02   0.6893868E-01
  105.0   0.2841046E-01   0.1049807      -0.1055426E-03   0.5867147      -0.3206747E-03   0.6028479E-02   0.6892525E-01
  106.0   0.2851315E-01   0.1068878       0.4801758E-04   0.6004958      -0.3202045E-03   0.5906512E-02   0.6911741E-01
  107.0   0.2827555E-01   0.1032639      -0.1837190E-03   0.6043745      -0.3135237E-03   0.5867080E-02   0.6918603E-01
  108.0   0.2841165E-01   0.1052821      -0.6704878E-04   0.6113542      -0.2956981E-03   0.5785191E-02   0.6919151E-01
  109.0   0.2833263E-01   0.1049857      -0.8503665E-04   0.6168567      -0.2788875E-03   0.5716919E-02   0.6891531E-01
  110.0   0.2842295E-01   0.1064355       0.1268719E-04   0.6190030      -0.2751336E-03   0.5696013E-02   0.6883848E-01
  111.0   0.2841739E-01   0.1065802       0.1738499E-05   0.6189621      -0.2663847E-03   0.5688531E-02   0.6880750E-01
  112.0   0.2843670E-01   0.1073282       0.7274983E-04   0.6228163      -0.2563989E-03   0.5646492E-02   0.6895416E-01
  113.0   0.2825774E-01   0.1042714      -0.1605296E-03   0.6253862      -0.2560572E-03   0.5629338E-02   0.6924183E-01
  114.0   0.2846347E-01   0.1076946       0.8153281E-04   0.6277570      -0.2347629E-03   0.5582477E-02   0.6880323E-01
  115.0   0.2851798E-01   0.1083469       0.1080503E-03   0.6281760      -0.2353795E-03   0.5583082E-02   0.6898151E-01
  116.0   0.2839292E-01   0.1066737       0.1948086E-04   0.6280578      -0.2260874E-03   0.5574659E-02   0.6889839E-01
  117.0   0.2850175E-01   0.1083358       0.1042194E-03   0.6346354      -0.2268898E-03   0.5524214E-02   0.6926242E-01
  118.0   0.2845945E-01   0.1087079       0.1318286E-03   0.6380590      -0.2165783E-03   0.5480442E-02   0.6894265E-01
  119.0   0.2842646E-01   0.1089242       0.1373183E-03   0.6416512      -0.2116448E-03   0.5442689E-02   0.6875181E-01
  120.0   0.2834930E-01   0.1084052       0.1099542E-03   0.6480263      -0.2153630E-03   0.5398070E-02   0.6910522E-01
  121.0   0.2815455E-01   0.1057941      -0.2506098E-04   0.6504173      -0.2187434E-03   0.5382564E-02   0.6932100E-01
  122.0   0.2826571E-01   0.1070039       0.1428104E-04   0.6487457      -0.1959042E-03   0.5361726E-02   0.6880401E-01
  123.0   0.2826681E-01   0.1072532       0.3875835E-04   0.6575177      -0.2022733E-03   0.5296892E-02   0.6910164E-01
  124.0   0.2817960E-01   0.1064510      -0.6412851E-05   0.6568091      -0.1933648E-03   0.5286915E-02   0.6892446E-01
  125.0   0.2828259E-01   0.1086360       0.1303382E-03   0.6596925      -0.1868960E-03   0.5252940E-02   0.6886035E-01
  126.0   0.2819118E-01   0.1082211       0.8878818E-04   0.6618733      -0.1895965E-03   0.5233580E-02   0.6887263E-01
  127.0   0.2803568E-01   0.1064979      -0.4024111E-04   0.6633145      -0.1856178E-03   0.5213916E-02   0.6890718E-01
  128.0   0.2825084E-01   0.1101352       0.1936628E-03   0.6671200      -0.1868420E-03   0.5181837E-02   0.6886044E-01
  129.0   0.2819665E-01   0.1102039       0.1914529E-03   0.6690671      -0.1747331E-03   0.5145397E-02   0.6848304E-01
  130.0   0.2807475E-01   0.1090045       0.1217833E-03   0.6701396      -0.1914471E-03   0.5151724E-02   0.6898087E-01
  131.0   0.2801470E-01   0.1088508       0.1062567E-03   0.6718467      -0.1920079E-03   0.5132418E-02   0.6892840E-01
  132.0   0.2801518E-01   0.1093126       0.9683243E-04   0.6736065      -0.1900065E-03   0.5111660E-02   0.6907991E-01
  133.0   0.2787194E-01   0.1087693       0.1178501E-03   0.6764562      -0.1831327E-03   0.5075426E-02   0.6894641E-01
  134.0   0.2786341E-01   0.1097792       0.1896927E-03   0.6759413      -0.1807186E-03   0.5068771E-02   0.6893940E-01
  135.0   0.2795385E-01   0.1120461       0.3311043E-03   0.6750021      -0.1738852E-03   0.5058507E-02   0.6871795E-01
  136.0   0.2768657E-01   0.1090306       0.1018141E-03   0.6749058      -0.1760107E-03   0.5051498E-02   0.6864881E-01
  137.0   0.2758714E-01   0.1089201       0.1069439E-03   0.6763283      -0.1767362E-03   0.5034191E-02   0.6870984E-01
  138.0   0.2756907E-01   0.1093876       0.1513465E-03   0.6781433      -0.1832745E-03   0.5018297E-02   0.6866382E-01
  139.0   0.2764606E-01   0.1113786       0.2412116E-03   0.6787255      -0.1743828E-03   0.4993975E-02   0.6850871E-01
  140.0   0.2743848E-01   0.1099829       0.1784295E-03   0.6794802      -0.1696746E-03   0.4971552E-02   0.6853060E-01
  141.0   0.2738109E-01   0.1101195       0.1741124E-03   0.6806223      -0.1709365E-03   0.4953087E-02   0.6838309E-01
  142.0   0.2737537E-01   0.1113553       0.2618621E-03   0.6906737      -0.1962879E-03   0.4900567E-02   0.6890357E-01
  143.0   0.2711497E-01   0.1087826       0.8336906E-04   0.6932607      -0.1875047E-03   0.4861126E-02   0.6869111E-01
  144.0   0.2702815E-01   0.1087455       0.7634969E-04   0.6989858      -0.1967651E-03   0.4819094E-02   0.6869303E-01
  145.0   0.2704570E-01   0.1113978       0.2772470E-03   0.7063227      -0.2067268E-03   0.4769235E-02   0.6878467E-01
  146.0   0.2681034E-01   0.1102242       0.2095875E-03   0.7055011      -0.2075575E-03   0.4760814E-02   0.6855173E-01
  147.0   0.2662952E-01   0.1090867       0.1312494E-03   0.7075159      -0.2198083E-03   0.4750113E-02   0.6907889E-01
  148.0   0.2656266E-01   0.1101836       0.1977067E-03   0.7062147      -0.2152850E-03   0.4738764E-02   0.6881359E-01
  149.0   0.2666106E-01   0.1134723       0.3414165E-03   0.7118199      -0.2247620E-03   0.4698186E-02   0.6894635E-01
  150.0   0.2633059E-01   0.1109962       0.2217107E-03   0.7128676      -0.2318524E-03   0.4683605E-02   0.6897148E-01
  151.0   0.2626872E-01   0.1121189       0.2917725E-03   0.7118334      -0.2072398E-03   0.4656083E-02   0.6861681E-01
  152.0   0.2608041E-01   0.1114494       0.2403290E-03   0.7123529      -0.2214631E-03   0.4655826E-02   0.6889763E-01
  153.0   0.2589656E-01   0.1114957       0.2336567E-03   0.7150973      -0.2252856E-03   0.4630206E-02   0.6887593E-01
  154.0   0.2568086E-01   0.1114944       0.2694518E-03   0.7165751      -0.2348718E-03   0.4617981E-02   0.6890342E-01
